Region,State,EnergySource,YearValue,Capacity_MW
NR,PUNJAB,SOLAR,2011,2.33
NR,PUNJAB,SMALL HYDRO,2012,154.5
NR,PUNJAB,COGENERATION-BAGASSE,2012,90.5
NR,PUNJAB,WASTE,2012,9.25
NR,PUNJAB,SOLAR,2012,9.33
NR,PUNJAB,SMALL HYDRO,2013,154.5
NR,PUNJAB,COGENERATION-BAGASSE,2013,124.5
NR,PUNJAB,WASTE,2013,9.25
NR,PUNJAB,SOLAR,2013,9.325
NR,PUNJAB,SMALL HYDRO,2014,156.2
NR,PUNJAB,COGENERATION-BAGASSE,2014,140.5
NR,PUNJAB,WASTE,2014,9.25
NR,PUNJAB,SOLAR,2014,16.85
NR,PUNJAB,SMALL HYDRO,2017,170.9
NR,PUNJAB,WASTE,2017,9.25
NR,PUNJAB,COGENERATION-BAGASSE,2017,179
NR,PUNJAB,SOLAR,2017,793.95
NR,PUNJAB,SMALL HYDRO,2018,173.55
NR,PUNJAB,WASTE,2018,9.25
NR,PUNJAB,COGENERATION-BAGASSE,2018,194
NR,PUNJAB,SOLAR,2018,905.62
NR,PUNJAB,SMALL HYDRO,2019,173.55
NR,PUNJAB,WASTE,2019,9.25
NR,PUNJAB,COGENERATION-BAGASSE,2019,194
NR,PUNJAB,SOLAR,2019,905.62
NR,PUNJAB,SMALL HYDRO,2020,173.55
NR,PUNJAB,WASTE,2020,10.75
NR,PUNJAB,COGENERATION-BAGASSE,2020,317.1
NR,PUNJAB,SOLAR,2020,947.1
NR,PUNJAB,SMALL HYDRO,2015,157.4
NR,PUNJAB,WASTE,2015,9.25
NR,PUNJAB,COGENERATION-BAGASSE,2015,179
NR,PUNJAB,SOLAR,2015,185.27
NR,PUNJAB,SMALL HYDRO,2016,170.9
NR,PUNJAB,WASTE,2016,9.25
NR,PUNJAB,COGENERATION-BAGASSE,2016,179
NR,PUNJAB,SOLAR,2016,405.063
NR,UTTARAKHAND,SMALL HYDRO,2008,105.12
NR,UTTARAKHAND,SOLAR,2008,0.05
NR,UTTARAKHAND,SMALL HYDRO,2009,127.92
NR,UTTARAKHAND,SOLAR,2009,0.05
NR,UTTARAKHAND,SMALL HYDRO,2010,132.92
NR,UTTARAKHAND,SOLAR,2010,0.05
NR,UTTARAKHAND,SMALL HYDRO,2011,134.62
NR,UTTARAKHAND,COGENERATION-BAGASSE,2011,10
NR,UTTARAKHAND,SOLAR,2011,0.05
NR,UTTARAKHAND,SMALL HYDRO,2012,170.82
NR,UTTARAKHAND,COGENERATION-BAGASSE,2012,10
NR,UTTARAKHAND,SOLAR,2012,5.05
NR,UTTARAKHAND,SMALL HYDRO,2013,174.82
NR,UTTARAKHAND,COGENERATION-BAGASSE,2013,10
NR,UTTARAKHAND,SOLAR,2013,5.05
NR,UTTARAKHAND,SMALL HYDRO,2014,174.82
NR,UTTARAKHAND,COGENERATION-BAGASSE,2014,30
NR,UTTARAKHAND,SOLAR,2014,5.05
NR,UTTARAKHAND,SMALL HYDRO,2017,209.32
NR,UTTARAKHAND,COGENERATION-BAGASSE,2017,73
NR,UTTARAKHAND,SOLAR,2017,233.49
NR,UTTARAKHAND,SMALL HYDRO,2018,214.32
NR,UTTARAKHAND,COGENERATION-BAGASSE,2018,73
NR,UTTARAKHAND,SOLAR,2018,260.08
NR,UTTARAKHAND,SMALL HYDRO,2019,214.32
NR,UTTARAKHAND,COGENERATION-BAGASSE,2019,73
NR,UTTARAKHAND,SOLAR,2019,306.75
NR,UTTARAKHAND,SMALL HYDRO,2020,214.32
NR,UTTARAKHAND,COGENERATION-BAGASSE,2020,130.5
NR,UTTARAKHAND,SOLAR,2020,315.9
NR,UTTARAKHAND,SMALL HYDRO,2015,209.32
NR,UTTARAKHAND,COGENERATION-BAGASSE,2015,73
NR,UTTARAKHAND,SOLAR,2015,5
NR,UTTARAKHAND,SMALL HYDRO,2016,209.33
NR,UTTARAKHAND,COGENERATION-BAGASSE,2016,73
NR,UTTARAKHAND,SOLAR,2016,41.145
WR,GOA,SMALL HYDRO,2008,0.05
WR,GOA,SMALL HYDRO,2009,0.05
WR,GOA,SMALL HYDRO,2010,0.05
WR,GOA,SMALL HYDRO,2011,0.05
WR,GOA,SMALL HYDRO,2012,0.05
WR,GOA,SMALL HYDRO,2013,0.05
WR,GOA,SMALL HYDRO,2014,0.05
WR,GOA,SMALL HYDRO,2017,0.05
WR,GOA,SOLAR,2017,0.71
WR,GOA,SMALL HYDRO,2018,0.05
WR,GOA,SOLAR,2018,0.91
WR,GOA,SMALL HYDRO,2019,0.05
WR,GOA,SOLAR,2019,3.92
WR,GOA,SMALL HYDRO,2020,0.05
WR,GOA,WASTE,2020,0.34
WR,GOA,SOLAR,2020,4.78
WR,GOA,SMALL HYDRO,2015,0.05
WR,GOA,SMALL HYDRO,2016,0.05
NER,MANIPUR,SMALL HYDRO,2008,5.45
NER,MANIPUR,SMALL HYDRO,2009,5.45
NER,MANIPUR,SMALL HYDRO,2010,5.45
NER,MANIPUR,SMALL HYDRO,2011,5.45
NER,MANIPUR,SMALL HYDRO,2012,5.45
NER,MANIPUR,SMALL HYDRO,2013,5.45
NER,MANIPUR,SMALL HYDRO,2014,5.45
NER,MANIPUR,SMALL HYDRO,2017,5.45
NER,MANIPUR,SOLAR,2017,0.03
NER,MANIPUR,SMALL HYDRO,2018,5.45
NER,MANIPUR,SOLAR,2018,0.06
NER,MANIPUR,SMALL HYDRO,2019,5.45
NER,MANIPUR,SOLAR,2019,3.44
NER,MANIPUR,SMALL HYDRO,2020,5.45
NER,MANIPUR,SOLAR,2020,5.16
NER,MANIPUR,SMALL HYDRO,2015,5.45
NER,MANIPUR,SMALL HYDRO,2016,5.45
NER,MIZORAM,SMALL HYDRO,2008,17.47
NER,MIZORAM,SMALL HYDRO,2009,24.47
NER,MIZORAM,SMALL HYDRO,2010,36.47
NER,MIZORAM,SMALL HYDRO,2011,36.74
NER,MIZORAM,SMALL HYDRO,2012,36.47
NER,MIZORAM,SMALL HYDRO,2013,36.47
NER,MIZORAM,SMALL HYDRO,2014,36.47
NER,MIZORAM,SMALL HYDRO,2017,41.47
NER,MIZORAM,SOLAR,2017,0.1
NER,MIZORAM,SMALL HYDRO,2018,36.47
NER,MIZORAM,SOLAR,2018,0.2
NER,MIZORAM,SMALL HYDRO,2019,36.47
NER,MIZORAM,SOLAR,2019,0.5
NER,MIZORAM,SMALL HYDRO,2020,36.47
NER,MIZORAM,SOLAR,2020,1.52
NER,MIZORAM,SMALL HYDRO,2015,36.47
NER,MIZORAM,SMALL HYDRO,2016,36.47
NER,MIZORAM,SOLAR,2016,0.1
NER,TRIPURA,SMALL HYDRO,2008,16.01
NER,TRIPURA,SMALL HYDRO,2009,16.01
NER,TRIPURA,SMALL HYDRO,2010,16.01
NER,TRIPURA,SMALL HYDRO,2011,16.01
NER,TRIPURA,SMALL HYDRO,2012,16.01
NER,TRIPURA,SMALL HYDRO,2013,16.01
NER,TRIPURA,SMALL HYDRO,2014,16.01
NER,TRIPURA,SMALL HYDRO,2017,16.01
NER,TRIPURA,SOLAR,2017,5.09
NER,TRIPURA,SMALL HYDRO,2018,16.01
NER,TRIPURA,SOLAR,2018,5.09
NER,TRIPURA,SMALL HYDRO,2019,16.01
NER,TRIPURA,SOLAR,2019,5.09
NER,TRIPURA,SMALL HYDRO,2020,16.01
NER,TRIPURA,SOLAR,2020,9.41
NER,TRIPURA,SMALL HYDRO,2015,16.01
NER,TRIPURA,SOLAR,2015,5
NER,TRIPURA,SMALL HYDRO,2016,16.01
NER,TRIPURA,SOLAR,2016,5
ER,A & N ISLANDS,SMALL HYDRO,2008,5.25
ER,A & N ISLANDS,WIND,2008,1.1
ER,A & N ISLANDS,SOLAR,2008,0.1
ER,A & N ISLANDS,SMALL HYDRO,2009,5.25
ER,A & N ISLANDS,WIND,2009,1.1
ER,A & N ISLANDS,SOLAR,2009,0.1
ER,A & N ISLANDS,SMALL HYDRO,2010,5.25
ER,A & N ISLANDS,SOLAR,2010,0.1
ER,A & N ISLANDS,SMALL HYDRO,2011,5.25
ER,A & N ISLANDS,SOLAR,2011,0.1
ER,A & N ISLANDS,SMALL HYDRO,2012,5.25
ER,A & N ISLANDS,SOLAR,2012,0.01
ER,A & N ISLANDS,SMALL HYDRO,2013,5.25
ER,A & N ISLANDS,SOLAR,2013,5.1
ER,A & N ISLANDS,SMALL HYDRO,2014,5.25
ER,A & N ISLANDS,SOLAR,2014,5.1
ER,A & N ISLANDS,SMALL HYDRO,2017,5.25
ER,A & N ISLANDS,SOLAR,2017,6.56
ER,A & N ISLANDS,SMALL HYDRO,2018,5.25
ER,A & N ISLANDS,SOLAR,2018,6.56
ER,A & N ISLANDS,SMALL HYDRO,2019,5.25
ER,A & N ISLANDS,SOLAR,2019,11.73
ER,A & N ISLANDS,SMALL HYDRO,2020,5.25
ER,A & N ISLANDS,SOLAR,2020,12.19
ER,A & N ISLANDS,SMALL HYDRO,2015,5.25
ER,A & N ISLANDS,SOLAR,2015,5.1
ER,A & N ISLANDS,SMALL HYDRO,2016,5.25
ER,A & N ISLANDS,SOLAR,2016,5.1
WR,DIU & DAMAN,SOLAR,2017,10.46
WR,DIU & DAMAN,SOLAR,2018,10.61
WR,DIU & DAMAN,SOLAR,2019,14.47
WR,DIU & DAMAN,SOLAR,2020,19.86
WR,DIU & DAMAN,SOLAR,2016,4
SR,LAKSHADWEEP,SOLAR,2008,0.76
SR,LAKSHADWEEP,SOLAR,2009,0.76
SR,LAKSHADWEEP,SOLAR,2010,0.75
SR,LAKSHADWEEP,SOLAR,2011,0.75
SR,LAKSHADWEEP,SOLAR,2012,0.75
SR,LAKSHADWEEP,SOLAR,2013,0.75
SR,LAKSHADWEEP,SOLAR,2014,0.75
SR,LAKSHADWEEP,SOLAR,2017,0.71
SR,LAKSHADWEEP,SOLAR,2018,0.75
SR,LAKSHADWEEP,SOLAR,2019,0.75
SR,LAKSHADWEEP,SOLAR,2020,0.75
SR,LAKSHADWEEP,SOLAR,2015,0.75
SR,LAKSHADWEEP,SOLAR,2016,0.75
NR,CHANDIGARH,SOLAR,2014,2
NR,CHANDIGARH,SOLAR,2017,17.32
NR,CHANDIGARH,SOLAR,2018,25.2
NR,CHANDIGARH,SOLAR,2019,34.71
NR,CHANDIGARH,SOLAR,2020,40.55
NR,CHANDIGARH,SOLAR,2015,4.5
NR,CHANDIGARH,SOLAR,2016,6.806
WR,DADRA & NAGAR HAVELI,SOLAR,2017,2.97
WR,DADRA & NAGAR HAVELI,SOLAR,2018,5.46
WR,DADRA & NAGAR HAVELI,SOLAR,2019,5.46
WR,DADRA & NAGAR HAVELI,SOLAR,2020,5.46
IN,OTHERS,WIND,2013,4.3
IN,OTHERS,SOLAR,2013,0.79
IN,OTHERS,WIND,2014,4.3
IN,OTHERS,SOLAR,2014,0.82
