UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2015,0,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,0,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2016,19.773,0
UTILITY,JHARKHAND,UTILITY-RE,WASTE,RENEWABLE,2016,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2016,0,0
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2016,0,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2016,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,161.383,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,21.965,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2017,109.18,0
UTILITY,BIHAR,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2017,0,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2017,0,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2017,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,155.77,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,7.95,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2018,145.34,0
UTILITY,BIHAR,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2018,0,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2018,0,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,268.229,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,27.743,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2019,179.89,0
UTILITY,BIHAR,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2019,12.28,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2019,1.22,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,179.537,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,18.977,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2020,160.165,0
UTILITY,BIHAR,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2020,0,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2020,0.99,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2020,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,34.711,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2008,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,37.604,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2009,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,37.604,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2010,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,0,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2010,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,41.185,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2011,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,24.073,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2011,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,44.285,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2012,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,39.276,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2012,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2012,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,48.692,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2013,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,109.72,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2013,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2013,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,48.692,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2014,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,110.025,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2014,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2014,0,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,48.692,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2015,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,110.025,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2015,0,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2015,0,0
UTILITY,BIHAR,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,110.025,0
UTILITY,BIHAR,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,48.692,0
UTILITY,BIHAR,UTILITY-RE,SOLAR,RENEWABLE,2016,6.392,0
UTILITY,BIHAR,UTILITY-RE,WASTE,RENEWABLE,2016,0,0
UTILITY,BIHAR,UTILITY-RE,WIND,RENEWABLE,2016,0,0
CAPTIVE,BIHAR,CAPTIVE,SOLAR,RENEWABLE,2016,0,0
CAPTIVE,BIHAR,CAPTIVE,WIND,RENEWABLE,2016,0,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,88.41,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,224.462,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2017,1448.37,0
UTILITY,MADHYA PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2017,26.529,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2017,3596.06,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,SOLAR,RENEWABLE,2017,0,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2017,11.817,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,76.11,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,124.11,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2018,2252.07,0
UTILITY,MADHYA PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2018,41.14,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2018,4220.09,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,SOLAR,RENEWABLE,2018,0,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2018,11.817,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,112.337,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,145.471,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2019,2982.29,0
UTILITY,MADHYA PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2019,51.108,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2019,4965.946,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,SOLAR,RENEWABLE,2019,6.7,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2019,501.5,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,97.464,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,246.163,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2020,3496.233,0
UTILITY,MADHYA PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2020,32.019,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2020,4425.993,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,SOLAR,RENEWABLE,2020,9.732,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2020,503.95,0
UTILITY,MADHYA PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2006,0,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2006,0,0
UTILITY,MADHYA PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2007,70.43,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2007,0,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,97.9,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2008,139.494,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,3.595,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2008,1.651,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2008,0.153,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2008,0,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,97.9,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2009,158.148,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,3.595,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2009,1.651,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2009,0.153,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2009,0,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,97.9,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2010,170.485,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,3.595,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2010,1.621,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2010,0.153,0
CAPTIVE,MADHYA PRADESH,CAPTIVE,WIND,RENEWABLE,2010,0,0
UTILITY,MADHYA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,118.537,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WIND,RENEWABLE,2011,205.043,0
UTILITY,MADHYA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,3.595,0
UTILITY,MADHYA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2011,1.621,0
